,ReviewID,Reviewer Name,Review,Date-of-Review,Sentiment
0,FAA40F30-11D8-47BE-B4E6-C5D4189F8C15,Nicole T,"A little different than the original, but it was very good...****",2019-08-24T03:42:00.737Z,1.0
1,DC6BBCFF-9420-4CF3-B55B-0AA3E5D3966A,Jessica,we disliked the part with Pumba saying brad.,2019-08-24T03:36:57.422Z,0.0
2,9622568D-E6C3-4462-AE83-C6FF8B67FB84,gigglegork,"so much better than I expected. Only missed one feature that I loved from the animated version, but it worked without it.",2019-08-24T03:12:25.767Z,1.0
3,e418fc29-856f-4083-afd2-66d166b79518,Lilia,The movie was great!,2019-08-24T01:58:31.050Z,1.0
4,77D1F696-A953-4277-8CB0-FA3C29D35E66,Brandy L,We absolutely loved it!!,2019-08-24T01:17:44.386Z,1.0
5,ECB20D9E-1D80-4B1E-B76C-41A39BD1B9B1,kimberly,Isn’t as good as the original!,2019-08-24T00:57:55.430Z,1.0
6,967103462,,the original version is better.,2019-08-24T00:23:09.850Z,0.0
7,961d34f9-09a5-4e6b-9ce6-84eb369ada32,CANDICE,Loved this movie.  The animation was incredible!,2019-08-24T00:10:50.081Z,1.0
8,45C8EA36-4B0C-4B25-881D-813D49223A79,Charles,Loved every bit of it.,2019-08-24T00:09:03.997Z,1.0
9,5353285A-4399-469D-B71B-1FD7A8F127D8,tymsars U,"I loved the amazingly realistic visuals for a story that I grew up loving. Unfortunately other than that, and some plot hole and character background filling, there wasn’t a ton that made it new.",2019-08-23T23:37:39.847Z,1.0
10,f01f86fa-db68-4f23-8de5-98feda6db254,Sarah,Mimicked the original. Brought me back to my 8 year old self!,2019-08-23T23:14:00.816Z,1.0
11,71512290-A7A5-4600-AFF6-27FD17D04067,Rizo,"visuals were spectacular, as you'd expect with a disney-funded movie. the micro-expressions were a great addition to overall lifelike feel of everything. seemed a little slow at one point of the movie or maybe I just remembered everything from the original. 
cool movie for the kiddies nostalgic, semi-funny for the adults",2019-08-23T22:33:11.212Z,1.0
12,978209922,Harry H,Was a good enough remake of the original but a bit violent for younger viewers ,2019-08-23T22:29:27.483Z,0.0
13,909527996,,"Beautiful, but so hard to love as much as before. There’s so much expression to the music that doesn’t match what I see. Animation is top notch, though.",2019-08-23T22:29:08.424Z,1.0
14,937307992,Joseph E,Nothing really impressive but still a must see! ,2019-08-23T22:12:57.167Z,1.0
15,901122880,,Not a classic like the animated original.,2019-08-23T21:52:48.415Z,1.0
16,BAD220D6-9F1E-491A-9C4D-856A4F1A99E0,momydearst1,"The first third of the movie was music. The animal depictions were not natural, as advertised. But my kids liked it and who could dislike 
The Lion King.",2019-08-23T20:52:54.084Z,0.0
17,46884488-148A-4162-A44D-D9EF297926FA,Stephanie,"they didn't stray from the original cartoon, it was just realistic! I will definitely watch it again and again!",2019-08-23T20:07:30.172Z,1.0
18,EF6D8379-3D10-468B-B4EE-496F3C92E899,disappointed,"Very very disappointed. I feel there was a lot of oppertunity to make this movie a lot better and it could be improved greatly 
Not the worst but not as good as I expected.",2019-08-23T19:29:12.866Z,0.0
19,978209753,Froster X,I hate all Remakes from Disney,2019-08-23T19:06:36.297Z,0.0
20,51C11594-DB67-47B1-9ABA-BD78CE11B580,Nelda M,We loved this movie👍👍,2019-08-23T18:34:20.409Z,1.0
21,6231eafa-ef2d-4cdc-a4a4-d5bc0b6e00fc,D Shea,"This was a wonderful movie and the technology was unbelievable.  Even though it has taken many forms, animated, Broadway, books and music, it is timeless and the message never grows old.  Thanks for a great experience.  We all need these uplifting moments in today's world.",2019-08-23T18:07:28.523Z,1.0
22,729b6fb1-4758-44e2-9d11-e99d549527dc,Amber G,Found it boring compared to the original. I'd take the original any day over the live action. Which was hard for me as I liked all the live actions Disney has come out with lately as remakes from the originals.,2019-08-23T17:48:17.232Z,0.0
23,ba1f9118-6f47-4e58-a9bd-2e8685394709,Steve,Loved it. We really both liked it a lot. Very lifelike animals.,2019-08-23T16:58:44.424Z,1.0
24,5F5FA9C3-BC71-4672-882F-583B07C6681E,Brian,Exactly how I expected. Iconic!,2019-08-23T16:28:55.434Z,1.0
25,d0465a32-3a4b-4cec-be15-1706e1316a00,Mary-Pat G,"Beautifully created. The animals are amazingly real and the story was just as terrific as the original animated and the Broadway show.  I would have liked to hear MORE of the music from the score! But other than that, this is an amazing and heartwarming movie.  However, I DON'T Think this is a good movie for young children. It's very scary in places and hard to watch.",2019-08-23T16:26:11.231Z,1.0
26,a5eed5ae-cb34-4e0f-a40a-1cebdb48a032,Allyse,The movie was well done and gave you all the feels. The kids loved it too.,2019-08-23T16:17:49.483Z,1.0
27,db8f20d6-3a53-45da-a5d0-c439873ae7a9,Linda,I saw the movie with my grown son and granddaughters. We loved the film. The cinematography was great and the animals looked real.,2019-08-23T16:05:05.594Z,1.0
28,e06dfe15-4156-482c-8ced-bd44afb9fd82,Betty wanger,Such a wonderful movie and so life like.  Loved the original movie but this one was even better and over the top!,2019-08-23T16:05:02.501Z,1.0
29,42046624-445a-438c-93c3-c826862e0a72,Philip J,"Great movie overall, the graphics were amazingly life like",2019-08-23T15:56:40.343Z,1.0
30,f937dd88-5fc7-4b9e-a757-caf3e9ebdd34,Rene B,Excellent movie. The animals were so real looking and incredibly life like. The story was compelling and the experience was a pure delight. I liked it so much that I saw it one day and then took my sister two days later...and I seldom do that.,2019-08-23T15:25:50.291Z,1.0
31,4db06cab-c6ac-4b76-b2cd-f7a46528fd98,james m,Animation graphics were so real like that you believe they are real animals.  Best animation I have ever seen. Excelent  movie for kids. Great moral.,2019-08-23T15:19:33.147Z,1.0
32,0ADB5A45-928B-413A-BA78-9C578AEED7FC,Ronda,Loved everything about it!,2019-08-23T15:01:55.617Z,1.0
33,9fe23341-271a-4e10-a00f-dfefc6b041f9,Brittany,"The original will always be better 
Less Animation",2019-08-23T14:51:38.959Z,1.0
34,FEB0F57E-9074-44D5-AF8F-030EA2AD1AFD,Lisa,"It was good, but really not for kids under the age of 5!! I liked it, my granddaughter lost interest",2019-08-23T14:26:29.014Z,1.0
35,5548d8e0-7883-4588-b192-8760b7a46900,Gregory,Can't say anything less than EXCELLENT....,2019-08-23T14:10:26.614Z,1.0
36,769b0229-fa0c-49a4-9def-78af7eb263db,Danny,This is one of my favorite cartoon movie. Definitely watching it again,2019-08-23T13:53:29.870Z,1.0
37,978209459,Vladislav B,"No emotions, no feelings, no motion, no beauty, just a demonstration of the possibilities of computer graphics on the brilliant creation of the past. 

I don't understand what it was created for. If Disney will puts together a box office, I'm disappointed in society.",2019-08-23T13:38:41.168Z,0.0
38,36803f12-d033-4dc4-a140-5f09724ef07e,christina s,"The Movie was great, and I would see it again.",2019-08-23T13:23:39.491Z,1.0
39,783964883,Kevin K,"The voice acting in the original one was more tonal and dramatic, and in my opinion, better. This version seems to have cut out a lot of dialogue in favor of more exposition so that the plot and character motives become much more obvious.The only time where I felt like this was an improvement was the first scenes showing the changes to the pride lands. Most of the musical scores were true to the original, but they ruined ""Be Prepared"". All in all I would still recommend the original over the remake, as animation is a medium that ages well anyway",2019-08-23T13:23:28.045Z,0.0
40,8e20beb1-7e7a-459a-b084-1fbfec63c8ff,COMamma3,"It was so amazing! The beginning where all the animals come to honor Simba, brought tears to my eyes!",2019-08-23T13:22:55.720Z,1.0
41,99e0978d-5217-4896-a868-8407d2a6dea6,Glenn S,I want to be a lion in my next life... A good one of course!,2019-08-23T13:11:42.315Z,1.0
42,4879e1d4-c9cf-4732-a468-7a9e2dd3c387,Helen,Beautiful!  Very well done.,2019-08-23T13:04:29.993Z,1.0
43,371de3ed-32c9-4e15-a5d5-03eb99edd58a,Helene,Loved the animations !,2019-08-23T13:03:36.511Z,1.0
44,307e8401-7066-40f9-be95-28d82c190eb2,Debbie S,"Loved the beautiful scenery and realistic animal's. Just like the first Lion King , only better.",2019-08-23T12:49:26.914Z,1.0
45,41994a25-2d43-441b-9d31-fba68290e966,Tamika M,Loved it..brought back my childhood days!,2019-08-23T12:10:44.839Z,1.0
46,84a7b63e-2e43-444f-ad28-e208656bdcaa,Jayne A,The critics who thought it lacked emotional content must be out of their minds. This movie had it all.,2019-08-23T11:56:58.657Z,1.0
47,978209385,Edam  M,"This remake completely ruined what made the original... wonderfully original. The ossessive search of photorealistic CGI washed off facial expressions of the animals, resulting the dubbers voices completely out of context, leaving you the impression that the animal is not talking.

Despite all this, the CGI is so well made that this movie can be named something like Savannah Documentary. ",2019-08-23T11:48:17.314Z,0.0
48,74ffe87d-ed15-4523-bce4-1dfff7ea2e64,JAMES S,great effects great movie,2019-08-23T11:35:41.398Z,1.0
49,978209377,WILLIAM B,Nothing much new here and the more realistic animals didn't do much to the story. It was worth taking my young children to who haven't seen the original animated version but for those who have won't get much out of it.,2019-08-23T11:31:54.298Z,0.0
50,26aeeff4-2e5b-42cd-b09b-0759a77d7313,Tristan S,"The truth is, they did not need to make this movie.  However, if you go and see it, you may like it for the nostalgia.",2019-08-23T11:17:57.888Z,1.0
51,978209364,Erika L,Very nice Movie! We both cried..( mom and 4 years old daughter),2019-08-23T11:09:11.092Z,1.0
52,978209350,Trevor W,"The screen play was good, however it lacked the passion in the character's speech a lot of the time it was more like it was being narrated, if they combined the updated graphics with the old soundtrack it would be perfect.",2019-08-23T10:53:56.961Z,1.0
53,a811c836-7e97-45c0-91b9-1dcd14bc2462,Edythe R,"I loved it! I thought the animation was so spectacular, and the music was wonderful! I can't believe the animals weren't real!",2019-08-23T10:20:13.797Z,1.0
54,4b46474c-caf5-4536-83d0-01129a62cc7a,Tina,"My son liked seeing all the real life animals, however  I think the cartoon was the better of the two movies.",2019-08-23T10:13:22.358Z,1.0
55,09bfbe33-5687-486a-a4b7-06d0e0a85641,Lion King,La pelicula era muy oscura. Parecia mas un documental de sobrevivencia de los leones.,2019-08-23T10:11:36.808Z,0.0
56,978209246,Anthony S,I had to sit through it... death was a viable option to get out of it.,2019-08-23T08:23:26.025Z,0.0
57,978209231,lion i,"Хорошее кино советую смотреть
here https://kinolion.fun/filmy/53976-korol-lev.html",2019-08-23T07:31:31.841Z,1.0
58,922072797,,"Somewhat decent movie, but the characters were disappointing. ",2019-08-23T06:16:52.804Z,0.0
59,402dc36e-51b4-4894-9caf-833c2930e10f,Erika,I loved how close it was to the original lion king and how real the animals looked. Good job Disney!,2019-08-23T05:29:23.533Z,1.0
60,88dbff5a-b070-4ce1-b8b7-24bcd8a13f1e,Celeste H,It was okay. It just couldnt compare to the original.,2019-08-23T05:21:39.025Z,0.0
61,966701625,Hope L,"I don't think the fact that it's almost exactly like the original is an issue. That's what should be expected. The problem is that they *didn't* recreate the original scenes to properly represent the original. I feel like they could have easily included more emotion and time for important scenes (which is what the audience is specifically interested in for nostalgia). The movie simply feels rushed. It seems like, because the main focus of this film was for the CGI to be breathtaking, that there wasn't enough attention to other important factors when it comes to creating movies. Timing, improvisation, and being more careful with details doesn't seem to have been on their minds. l did enjoy this movie, but when it's clear that so much could have easily been corrected to make the film better, it's disappointing. ",2019-08-23T05:11:15.724Z,1.0
62,904373410,,Pleasantly surprised of how this came together ,2019-08-23T04:49:41.235Z,1.0
63,60DE0347-FC70-40A0-9844-BA4BC0537E49,Rogo,movie was a great take on the original,2019-08-23T04:49:25.431Z,1.0
